Locality,Total Restaurants,Average Rating,Average Price Range
Connaught Place,122,3.6868852459016392,2.598360655737705
Rajouri Garden,99,3.591919191919192,2.202020202020202
Shahdara,87,1.4137931034482758,1.1379310344827587
Defence Colony,86,3.21046511627907,1.930232558139535
Pitampura,85,2.8705882352941177,1.4705882352941178
Malviya Nagar,85,3.4282352941176466,1.776470588235294
Mayur Vihar Phase 1,84,2.026190476190476,1.2976190476190477
Rajinder Nagar,81,2.94320987654321,1.4320987654320987
Safdarjung,80,2.80125,1.675
Satyaniketan,79,3.4822784810126586,1.620253164556962
Krishna Nagar,77,1.9000000000000001,1.2727272727272727
Sector 62,76,1.9552631578947368,1.4210526315789473
Karol Bagh,76,3.0710526315789473,1.5657894736842106
Sector 18,75,3.3706666666666667,2.1333333333333333
Hauz Khas,74,2.5067567567567566,1.5405405405405406
Kalkaji,73,2.989041095890411,1.3835616438356164
Sector 15,71,2.6154929577464787,1.380281690140845
DLF Phase 3,69,3.201449275362319,1.434782608695652
Mahipalpur,69,1.0724637681159421,1.463768115942029
Mukherjee Nagar,68,1.061764705882353,1.0735294117647058
Shalimar Bagh,67,2.1701492537313434,1.2238805970149254
Chandni Chowk,67,2.7567164179104475,1.1194029850746268
Greater Kailash (GK) 1,66,3.696969696969697,2.212121212121212
Greater Kailash (GK) 2,66,3.553030303030303,2.1818181818181817
Kamla Nagar,65,3.295384615384615,1.4461538461538461
Delhi University-GTB Nagar,65,2.7384615384615385,1.4615384615384615
Paharganj,64,2.8109375,1.6875
MG Road,63,1.6095238095238096,1.6984126984126984
Vasundhara Enclave,62,0.8370967741935483,1.096774193548387
Jail Road,61,2.5590163934426227,1.2131147540983607
Sector 72,61,1.2918032786885245,1.4426229508196722
Tilak Nagar,61,1.4098360655737705,1.1639344262295082
Vikaspuri,60,2.8633333333333337,1.35
Palam,60,0.58,1.2
Punjabi Bagh,60,3.393333333333333,1.9
Najafgarh,60,0.04833333333333333,1.0666666666666667
Sector 56,59,1.6898305084745764,1.4067796610169492
Uttam Nagar,59,1.723728813559322,1.0847457627118644
Laxmi Nagar,58,2.779310344827586,1.3275862068965518
Jangpura,57,1.9140350877192982,1.3333333333333333
Dilshad Garden,57,1.7105263157894737,1.3333333333333333
East of Kailash,56,1.4285714285714286,1.3571428571428572
Kirti Nagar,56,3.0910714285714285,1.7678571428571428
Paschim Vihar,56,3.148214285714286,1.3928571428571428
Naraina,54,1.4481481481481482,1.1481481481481481
Sector 110,53,2.0490566037735847,1.6415094339622642
Sector 14,52,2.598076923076923,1.4230769230769231
Sector 31,52,2.373076923076923,1.3653846153846154
Subhash Nagar,51,1.0686274509803921,1.1176470588235294
East Patel Nagar,50,2.648,1.52
Preet Vihar,49,1.9183673469387754,1.3673469387755102
Palam Vihar,49,0.9836734693877551,1.3061224489795917
Rohini,48,3.3520833333333333,1.5416666666666667
Netaji Subhash Place,48,3.529166666666667,1.6458333333333333
Sector 41,48,2.1666666666666665,1.5416666666666667
IP Extension,47,1.823404255319149,1.297872340425532
Sector 29,47,3.570212765957447,2.574468085106383
New Friends Colony,47,2.2617021276595746,1.574468085106383
Green Park,46,2.4347826086956523,1.826086956521739
Janakpuri,46,3.3152173913043477,1.7391304347826086
Chittaranjan Park,46,2.45,1.5217391304347827
Vijay Nagar,46,3.6630434782608696,1.8043478260869565
Sector 37,45,2.3377777777777777,1.3555555555555556
Khan Market,44,3.715909090909091,2.7045454545454546
Sector 132,43,0.958139534883721,1.3953488372093024
Munirka,43,1.5558139534883721,1.255813953488372
Daryaganj,43,1.8348837209302327,1.372093023255814
Anand Vihar,42,2.1095238095238096,1.380952380952381
Civil Lines,42,2.9476190476190474,2.1666666666666665
Lajpat Nagar 1,42,1.4142857142857141,1.2380952380952381
Sohna Road,42,3.261904761904762,1.880952380952381
Old Railway Road,41,2.714634146341463,1.4146341463414633
South Extension 2,41,2.760975609756098,1.7560975609756098
"Cyber Hub, DLF Cyber City",41,3.860975609756098,2.8048780487804876
Nangloi,41,0.0,1.024390243902439
Moti Nagar,40,1.8524999999999998,1.4
Sector 45,40,1.4975,1.35
Janpath,39,3.0230769230769234,2.2051282051282053
Gujranwala Town,39,2.0153846153846153,1.358974358974359
GTB Nagar,38,1.5921052631578947,1.5263157894736843
R K Puram,38,1.3368421052631578,1.3421052631578947
Greater Noida,38,1.8631578947368421,1.5263157894736843
Sector 50,37,2.4027027027027024,1.7027027027027026
"The Great India Place, Sector 38",37,2.6459459459459462,2.0
Udyog Vihar,37,1.0621621621621622,1.4864864864864864
Saket,36,2.8944444444444444,1.6944444444444444
Ashok Vihar Phase 1,36,1.7166666666666666,1.3611111111111112
Vivek Vihar,36,1.9805555555555554,1.1944444444444444
Tagore Garden,36,1.913888888888889,1.3333333333333333
Vasant Vihar,36,2.1805555555555554,1.5555555555555556
Sainik Farms,35,0.7857142857142857,1.1428571428571428
Geeta Colony,34,1.3588235294117648,1.2058823529411764
Chanakyapuri,32,2.7,1.84375
Mayur Vihar Phase 3,32,1.840625,1.28125
Alaknanda,32,2.346875,1.375
Nehru Place,32,2.496875,1.53125
Sector 17,31,0.9580645161290322,1.3548387096774193
Lodhi Colony,31,3.1838709677419357,2.032258064516129
"DLF Mall of India, Sector 18,  Noida",31,3.8419354838709676,2.225806451612903
Sector 12,30,1.3733333333333335,1.4333333333333333
Sushant Lok,30,2.9133333333333336,1.7666666666666666
"Logix City Centre, Sector 32, Noida",30,1.9133333333333333,1.5666666666666667
Mayur Vihar Phase 2,29,2.810344827586207,1.2413793103448276
Sector 16,28,1.8357142857142856,1.3571428571428572
Sector 51,28,1.2357142857142858,1.6071428571428572
"Pacific Mall, Tagore Garden",27,2.7222222222222223,1.7407407407407407
Golf Course Road,27,3.559259259259259,2.4444444444444446
Shakarpur,27,0.7629629629629631,1.1481481481481481
DLF Phase 1,27,2.855555555555555,1.7777777777777777
Sarita Vihar,26,1.5,1.2307692307692308
"V3S Mall, Laxmi Nagar",26,2.819230769230769,1.7692307692307692
Jama Masjid,26,2.465384615384615,1.1923076923076923
Shahpur Jat,26,3.715384615384615,2.230769230769231
Sector 27,26,2.1846153846153844,1.1538461538461537
Yusuf Sarai,25,1.9680000000000002,1.24
Majnu ka Tila,25,0.496,1.32
"Unitech Infospace, Sector 21, Gurgaon",25,2.832,1.64
Model Town 2,25,3.2560000000000002,1.48
"Select Citywalk Mall, Saket",25,3.764,2.2
Sector 7,24,2.904166666666667,1.5
